Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude,Föremålsbenämning_translated,Föremålsnr._translated,Andra nummer_translated,Material_translated,Plats_translated,Fornlämning_translated,Socken_translated,Landskap_translated,Land_translated,Kontexttyp_translated,Kontextnr._translated,Kategori_translated,Datering_translated,Tidsperiod_translated,Föremålsnummer_translated,Historisk plats_translated,Omnämns i katalog_translated,Förvärvsmetod_translated,Fyndplats_translated,Arkeologisk kontext_translated,Kontextnamn_translated,Undersökare_translated,Undersökningsår_translated,Storlek_translated,Era Start Year,Era End Year,Width,Length,Thickness,Diameter,Weight,year_uncovered
Pil,614819_HST,34000.0,Undernummer: Bj 1036,"Trä, Järn","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kistgrav,1036,Historiska museet,Pil - 195,https://samlingar.shm.se/object/B1D7E93F-028D-47C0-BF91-A6D6EEC15CAD,Vapen och rustningar  Arkeologisk samling,3.0,800 – 1100,Vikingatid,614819_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Obekant yttre gravskick: 1036",Bj 1036,"Stolpe, Hjalmar",1881,,9.0,,,,,Pil,614819_HST,Subnumber: Bj 1036,"Wood, Iron","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Coffin grave,1036,Weapons and armor Archaeological collection,800 – 1100,Viking age,614819_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Coffin grave, Grave, Unknown external grave condition: 1036",Bj 1036,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Pilspets,614498_HST,34000.0,Undernummer: Bj 978,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kistgrav,978,Historiska museet,Pilspets - 196,https://samlingar.shm.se/object/43A61B15-8154-4DD0-A5BB-94E10F5DD622,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,614498_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Flatmarksgrav: 978",Bj 978,"Stolpe, Hjalmar",1881,,1.0,,,,,Pilspets,614498_HST,Subnumber: Bj 978,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Coffin grave,978,Weapons and armor Archaeological collection,800 – 1100,Viking age,614498_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Coffin grave, Grave, Flatmark grave: 978",Bj 978,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Svärd,108809_HST,4515.0,FID: 108809,"Järn, Silver, Guld, Guld",Dybeck,,Östra Vemmenhög socken,Skåne,Sverige,,,Historiska museet,Svärd - 197,https://samlingar.shm.se/object/7B76CA03-FE89-45AB-BF33-F3A888BEEF4C,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,108809_HST,,4515.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=4515,,1871.0,"Plats: Dybeck, Socken: Östra Vemmenhög socken, Kommun: Skurup kommun, Landskap: Skåne, Land: Sverige",,,,,,,42.230118,-71.800061,46.3144754,11.0480288,Sword,108809_HST,FID: 108809,"Iron, Silver, Gold, Gold",Dybeck,,Östra Vemmenhög parish,Skåne,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,108809_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=4515,,"Place: Dybeck, Parish: Östra Vemmenhög parish, Municipality: Skurup municipality, Landscape: Skåne, Country: Sweden",,,,,,800,1100,,,,,,
Svärd,108810_HST,19734.0,Undernummer: 36,"Silver, Koppar",Broa,L1976:1548,Halla socken,Gotland,Sverige,Grav,36,Historiska museet,Svärd - 198,https://samlingar.shm.se/object/95BABBEB-D859-4A55-AB6C-165DE4ED43D1,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,108810_HST,,19734.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=19734,,1931.0,"Plats: Broa, Fornlämning: L1976:1548, Socken: Halla socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Grav: 36,,,,,,39.2664318,-7.3585057,46.3144754,11.0480288,Sword,108810_HST,Subnumber: 36,"Silver, Copper",Broa,L1976:1548,Halla Parish,Gotland,Sweden,Serious,36,Weapons and armor Archaeological collection,800 – 1100,Viking age,108810_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=19734,,"Place: Broa, Ancient site: L1976:1548, Parish: Halla parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Serious: 36,,,,,800,1100,,,,,,
Rundsköld,611115_HST,34000.0,Undernummer: Bj 957,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,957,Historiska museet,Rundsköld - 199,https://samlingar.shm.se/object/F0D22187-9E2D-44C7-B0E2-04139882C7A7,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,611115_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 957",Bj 957,"Stolpe, Hjalmar",1881,,14.0,,,,,Round shield,611115_HST,Subnumber: Bj 957,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,957,Weapons and armor Archaeological collection,800 – 1100,Viking age,611115_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 957",Bj 957,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Spjut,611117_HST,34000.0,Undernummer: Bj 957,"Järn, Koppar","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,957,Historiska museet,Spjut - 200,https://samlingar.shm.se/object/8B3D5D01-95BD-4EEC-AA2D-1E0450D52D5B,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,611117_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 957",Bj 957,"Stolpe, Hjalmar",1881,,,,,,,Spear,611117_HST,Subnumber: Bj 957,"Iron, Copper","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,957,Weapons and armor Archaeological collection,800 – 1100,Viking age,611117_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 957",Bj 957,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Pilspets,614525_HST,34000.0,Undernummer: Bj 974,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,974,Historiska museet,Pilspets - 201,https://samlingar.shm.se/object/E97F46B0-F78D-4CB0-B989-E8F0471142F1,Vapen och rustningar  Arkeologisk samling,8.0,800 – 1100,Vikingatid,614525_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 974",Bj 974,"Stolpe, Hjalmar",1881,,13.0,,,,,Pilspets,614525_HST,Subnumber: Bj 974,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,974,Weapons and armor Archaeological collection,800 – 1100,Viking age,614525_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Flatmark grave: 974",Bj 974,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Sköld,614647_HST,34000.0,Undernummer: Bj 985,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,985,Historiska museet,Sköld - 202,https://samlingar.shm.se/object/A6D64C84-3B5B-4869-A506-DB82318407B5,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,614647_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 985",Bj 985,"Stolpe, Hjalmar",1881,,1.0,,,,,shield,614647_HST,Subnumber: Bj 985,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,985,Weapons and armor Archaeological collection,800 – 1100,Viking age,614647_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Grave, Mound: 985",Bj 985,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Spjut,611563_HST,34000.0,Undernummer: Bj 391,Järn,"Björkö, Borgs hage",L2017:1478,Adelsö socken,Uppland,Sverige,Brandgrav,391,Historiska museet,Spjut - 203,https://samlingar.shm.se/object/F911C636-4051-457D-A683-4AF2BFB12480,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,611563_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Borgs hage, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 391",Bj 391,"Stolpe, Hjalmar",1876,,,,,,,Spear,611563_HST,Subnumber: Bj 391,Iron,"Björkö, Borg&#39;s garden",L2017:1478,Adelsö parish,Hinterland,Sweden,Brandgrav,391,Weapons and armor Archaeological collection,800 – 1100,Viking age,611563_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Borgs hage, Ancient remains: L2017:1478, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Fire Pit, Grave, Mound: 391",Bj 391,"Stolpe, Hjalmar",1876,,800,1100,,,,,,1876.0
Sköld,622145_HST,34000.0,Undernummer: Bj 1035,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,1035,Historiska museet,Sköld - 204,https://samlingar.shm.se/object/0A074C17-5EC7-4875-B319-F7179B94781D,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,622145_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 1035",Bj 1035,"Stolpe, Hjalmar",1881,,,,,,,shield,622145_HST,Subnumber: Bj 1035,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Brandgrav,1035,Weapons and armor Archaeological collection,800 – 1100,Viking age,622145_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Fire Pit, Grave, Mound: 1035",Bj 1035,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Svärd Petersen H,477641_HST,34000.0,Undernummer: Bj 736,"Järn, Koppar, Silver, Trä, pälsskinn, Läder, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,736,Historiska museet,Svärd Petersen H - 205,https://samlingar.shm.se/object/64FED155-869F-468B-9DC7-BE920DB3D6A0,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,477641_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Hög, Grav: 736",Bj 736,"Stolpe, Hjalmar",1879,,18.0,,,,,Svard Petersen H,477641_HST,Subnumber: Bj 736,"Iron, Copper, Silver, Wood, fur, Leather, Textile","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,736,Weapons and armor Archaeological collection,800 – 1100,Viking age,477641_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, High, Grave: 736",Bj 736,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Rundsköld,477806_HST,34000.0,Undernummer: Bj 736,"Järn, Vitmetall","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,736,Historiska museet,Rundsköld - 206,https://samlingar.shm.se/object/122D1172-38E9-494A-95D2-91634B98EB88,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,477806_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Hög, Grav: 736",Bj 736,"Stolpe, Hjalmar",1879,,20.0,,,,,Round shield,477806_HST,Subnumber: Bj 736,"Iron, White metal","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,736,Weapons and armor Archaeological collection,800 – 1100,Viking age,477806_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, High, Grave: 736",Bj 736,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Pil,598029_HST,16780.0,FID: 598029,Järn,Saivo,,Gällivare socken,Lappland,Sverige,,,Historiska museet,Pil - 207,https://samlingar.shm.se/object/C2EB73FB-FD19-4153-AAED-41B109B788D5,Vapen och rustningar  Arkeologisk samling,2.0,800 – 1500,Vikingatid  Medeltid,598029_HST,,16780.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16780,,1921.0,"Plats: Saivo, Socken: Gällivare socken, Kommun: Gällivare kommun, Landskap: Lappland, Land: Sverige",,,,,,,67.5888188,20.46239004598518,46.3144754,11.0480288,Pil,598029_HST,FID: 598029,Iron,Like them,,Gällivare parish,Lapland,Sweden,,,Weapons and armor Archaeological collection,800 – 1500,Viking Age Middle Ages,598029_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16780,,"Place: Saivo, Parish: Gällivare parish, Municipality: Gällivare municipality, Landscape: Lapland, Country: Sweden",,,,,,800,1500,,,,,,
Pil,598018_HST,17343.0,"Undernummer: 1677a, b, c, e, g",Järn,,,Gällivare socken,Lappland,Sverige,,,Historiska museet,Pil - 208,https://samlingar.shm.se/object/6CFF46E4-2AD4-45D6-BDA9-3F8E5CEDE116,Vapen och rustningar  Arkeologisk samling,5.0,800 – 1500,Vikingatid  Medeltid,598018_HST,,17343.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17343,,1923.0,"Socken: Gällivare socken, Kommun: Gällivare kommun, Landskap: Lappland, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288,Pil,598018_HST,"Subnumber: 1677a, b, c, e, g",Iron,,,Gällivare parish,Lapland,Sweden,,,Weapons and armor Archaeological collection,800 – 1500,Viking Age Middle Ages,598018_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17343,,"Parish: Gällivare parish, Municipality: Gällivare municipality, Landscape: Lapland, Country: Sweden",,,,,,800,1500,,,,,,
Spjut,475713_HST,34000.0,Undernummer: Bj 727,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,727,Historiska museet,Spjut - 209,https://samlingar.shm.se/object/C35F3330-16F6-411D-83D3-0E7A68C3D63F,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,475713_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 727",Bj 727,"Stolpe, Hjalmar",1879,,4.0,,,,,Spear,475713_HST,Subnumber: Bj 727,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,727,Weapons and armor Archaeological collection,800 – 1100,Viking age,475713_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 727",Bj 727,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Pil,475716_HST,34000.0,Undernummer: Bj 727,"Järn, Trä, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,727,Historiska museet,Pil - 210,https://samlingar.shm.se/object/FBDE4AD7-5B68-43E6-938D-350906DA04FE,Vapen och rustningar  Arkeologisk samling,15.0,800 – 1100,Vikingatid,475716_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 727",Bj 727,"Stolpe, Hjalmar",1879,,41.0,,,,,Pil,475716_HST,Subnumber: Bj 727,"Iron, Wood, Textile","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,727,Weapons and armor Archaeological collection,800 – 1100,Viking age,475716_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 727",Bj 727,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Dubbeleggad yxa,480192_HST,34000.0,Undernummer: Bj 737B,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kistgrav,737B,Historiska museet,Dubbeleggad yxa - 211,https://samlingar.shm.se/object/DB91ACA8-27C0-48D8-B808-CBF3581E6842,Vapen och rustningar  Religion och kult  Arkeologisk samling,1.0,800 – 1100,Vikingatid,480192_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Hög: 737B",Bj 737B,"Stolpe, Hjalmar",1879,,1.0,,,,,Double coated axe,480192_HST,Subnumber: Bj 737B,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Coffin grave,737B,Weapons and armor Religion and cult Archaeological collection,800 – 1100,Viking age,480192_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Coffin grave, Tomb, Mound: 737B",Bj 737B,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
pil/pilkoger,606230_HST,34000.0,Undernummer: Bj 942,"Järn, Trä, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,942,Historiska museet,pil/pilkoger - 212,https://samlingar.shm.se/object/A1FBAF72-856B-45B5-A9B4-52CC0C03FE68,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,606230_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 942",Bj 942,"Stolpe, Hjalmar",,,2.0,,,,,arrow/arrow cooker,606230_HST,Subnumber: Bj 942,"Iron, Wood, Textile","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,942,Weapons and armor Archaeological collection,800 – 1100,Viking age,606230_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 942",Bj 942,"Stolpe, Hjalmar",,,800,1100,,,,,,
Rundsköld,608349_HST,34000.0,Undernummer: Bj 944,"Järn, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,944,Historiska museet,Rundsköld - 213,https://samlingar.shm.se/object/4ABE1D14-32C1-49C1-9C81-96619E34F4A4,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,608349_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 944",Bj 944,"Stolpe, Hjalmar",1881,,5.0,,,,,Round shield,608349_HST,Subnumber: Bj 944,"Iron, Wood","Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,944,Weapons and armor Archaeological collection,800 – 1100,Viking age,608349_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Mound: 944",Bj 944,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Pil,609754_HST,34000.0,Undernummer: Bj 949,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,949,Historiska museet,Pil - 214,https://samlingar.shm.se/object/5845D2CC-0E9A-4BE8-91CC-60AA4C4D5421,Vapen och rustningar  Arkeologisk samling,13.0,800 – 1100,Vikingatid,609754_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 949",Bj 949,"Stolpe, Hjalmar",1881,,,,,,,Pil,609754_HST,Subnumber: Bj 949,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,949,Weapons and armor Archaeological collection,800 – 1100,Viking age,609754_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, Mound: 949",Bj 949,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
